"dataset","n_items","n_persons","working_model","analysis_model","statistic","method","flagging_rate","null_rate","working_acceptable_fit"
"cdm_timss03",23,757,"2PL","3PL","W*","Bootstrap",0.0607661822985469,0.0500924702774108,TRUE
"cdm_timss03",23,757,"2PL","3PL","W*","Bootstrap by ability",0.0620871862615588,0.0500198150594452,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z2*","Normal theory",0.0330250990752972,0.0331836195508587,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z2*","Bootstrap",0.0528401585204756,0.0500330250990753,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z2*","Bootstrap by ability",0.0449141347424042,0.050224570673712,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z4*","Normal theory",0.0515191545574637,0.0422391017173052,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z4*","Bootstrap",0.0568031704095112,0.0499933949801849,TRUE
"cdm_timss03",23,757,"2PL","3PL","ECI_Z4*","Bootstrap by ability",0.0554821664464993,0.0500462351387054,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","lz*","Normal theory",0.0611229566453447,0.0532587064676617,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","lz*","Bootstrap",0.0589907604832978,0.0500817341862118,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","lz*","Bootstrap by ability",0.0575692963752665,0.0500959488272921,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","U*","Normal theory",0.0639658848614073,0.054271499644634,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","U*","Bootstrap",0.0618336886993603,0.0500035536602701,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","U*","Bootstrap by ability",0.0589907604832978,0.0500284292821606,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","W*","Normal theory",0.0511727078891258,0.0444207533759773,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","W*","Bootstrap",0.0632551528073916,0.0499715707178394,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","W*","Bootstrap by ability",0.0597014925373134,0.0500995024875622,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z2*","Normal theory",0.0412224591329069,0.0321215351812367,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z2*","Bootstrap",0.0611229566453447,0.0500639658848614,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z2*","Bootstrap by ability",0.0646766169154229,0.0499644633972992,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z4*","Normal theory",0.0476190476190476,0.0400746268656716,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z4*","Bootstrap",0.0589907604832978,0.0499928926794598,TRUE
"difnlr_msatb",20,1407,"2PL","1PL","ECI_Z4*","Bootstrap by ability",0.062544420753376,0.0500497512437811,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","lz*","Normal theory",0.0639658848614073,0.053816631130064,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","lz*","Bootstrap",0.0575692963752665,0.0501243781094527,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","lz*","Bootstrap by ability",0.0568585643212509,0.0500426439232409,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","U*","Normal theory",0.0675195451314854,0.0562544420753376,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","U*","Bootstrap",0.0575692963752665,0.0500426439232409,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","U*","Bootstrap by ability",0.0561478322672353,0.0501030561478323,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","W*","Normal theory",0.0554371002132196,0.0437313432835821,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","W*","Bootstrap",0.062544420753376,0.0499715707178394,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","W*","Bootstrap by ability",0.0589907604832978,0.0500533049040512,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z2*","Normal theory",0.03909026297086,0.0293070362473348,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z2*","Bootstrap",0.0618336886993603,0.0499715707178394,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z2*","Bootstrap by ability",0.0653873489694385,0.05,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z4*","Normal theory",0.0540156361051883,0.0413468372423596,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z4*","Bootstrap",0.0646766169154229,0.0500568585643213,TRUE
"difnlr_msatb",20,1407,"2PL","2PL","ECI_Z4*","Bootstrap by ability",0.0611229566453447,0.0500817341862118,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","lz*","Normal theory",0.0568585643212509,0.052043354655295,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","lz*","Bootstrap",0.0540156361051883,0.050046197583511,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","lz*","Bootstrap by ability",0.054726368159204,0.0501528073916134,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","U*","Normal theory",0.0476190476190476,0.0512046908315565,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","U*","Bootstrap",0.0476190476190476,0.0499431414356787,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","U*","Bootstrap by ability",0.0504619758351102,0.0500604122245913,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","W*","Normal theory",0.0511727078891258,0.0427185501066098,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","W*","Bootstrap",0.0568585643212509,0.0499324804548685,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","W*","Bootstrap by ability",0.0582800284292822,0.0499040511727079,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z2*","Normal theory",0.0305614783226724,0.0284044065387349,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z2*","Bootstrap",0.0597014925373134,0.0500142146410803,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z2*","Bootstrap by ability",0.062544420753376,0.050181236673774,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z4*","Normal theory",0.0426439232409382,0.0399609097370291,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z4*","Bootstrap",0.0525941719971571,0.0499431414356787,TRUE
"difnlr_msatb",20,1407,"2PL","3PL","ECI_Z4*","Bootstrap by ability",0.0504619758351102,0.0499964463397299,TRUE
"experimental_iq",25,192,"1PL","1PL","lz*","Normal theory",0.109375,0.05328125,FALSE
"experimental_iq",25,192,"1PL","1PL","lz*","Bootstrap",0.109375,0.05,FALSE
"experimental_iq",25,192,"1PL","1PL","lz*","Bootstrap by ability",0.109375,0.0501302083333333,FALSE
"experimental_iq",25,192,"1PL","1PL","U*","Normal theory",0.104166666666667,0.05484375,FALSE
"experimental_iq",25,192,"1PL","1PL","U*","Bootstrap",0.104166666666667,0.0499739583333333,FALSE
"experimental_iq",25,192,"1PL","1PL","U*","Bootstrap by ability",0.104166666666667,0.05,FALSE
"experimental_iq",25,192,"1PL","1PL","W*","Normal theory",0.0885416666666667,0.0485416666666667,FALSE
"experimental_iq",25,192,"1PL","1PL","W*","Bootstrap",0.0885416666666667,0.0500520833333333,FALSE
"experimental_iq",25,192,"1PL","1PL","W*","Bootstrap by ability",0.0885416666666667,0.050234375,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z2*","Normal theory",0.0625,0.03265625,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z2*","Bootstrap",0.09375,0.0501041666666667,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z2*","Bootstrap by ability",0.0885416666666667,0.0500260416666667,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z4*","Normal theory",0.0885416666666667,0.0427864583333333,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z4*","Bootstrap",0.0885416666666667,0.0499479166666667,FALSE
"experimental_iq",25,192,"1PL","1PL","ECI_Z4*","Bootstrap by ability",0.0885416666666667,0.0503125,FALSE
"experimental_iq",25,192,"1PL","2PL","lz*","Normal theory",0.0989583333333333,0.0529166666666667,FALSE
"experimental_iq",25,192,"1PL","2PL","lz*","Bootstrap",0.0885416666666667,0.0502604166666667,FALSE
"experimental_iq",25,192,"1PL","2PL","lz*","Bootstrap by ability",0.104166666666667,0.05015625,FALSE
"experimental_iq",25,192,"1PL","2PL","U*","Normal theory",0.046875,0.0466145833333333,FALSE
"experimental_iq",25,192,"1PL","2PL","U*","Bootstrap",0.046875,0.0501302083333333,FALSE
"experimental_iq",25,192,"1PL","2PL","U*","Bootstrap by ability",0.0572916666666667,0.05015625,FALSE
"experimental_iq",25,192,"1PL","2PL","W*","Normal theory",0.046875,0.04703125,FALSE
"experimental_iq",25,192,"1PL","2PL","W*","Bootstrap",0.046875,0.0501822916666667,FALSE
"experimental_iq",25,192,"1PL","2PL","W*","Bootstrap by ability",0.046875,0.0504166666666667,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z2*","Normal theory",0.046875,0.03140625,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z2*","Bootstrap",0.0572916666666667,0.050078125,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z2*","Bootstrap by ability",0.0729166666666667,0.0501302083333333,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z4*","Normal theory",0.046875,0.0408333333333333,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z4*","Bootstrap",0.0625,0.0498958333333333,FALSE
"experimental_iq",25,192,"1PL","2PL","ECI_Z4*","Bootstrap by ability",0.0625,0.0503645833333333,FALSE
"experimental_iq",25,192,"1PL","3PL","lz*","Normal theory",0.0785340314136126,0.0556123940368313,FALSE
"experimental_iq",25,192,"1PL","3PL","lz*","Bootstrap",0.0732984293193717,0.0497296112247881,FALSE
"experimental_iq",25,192,"1PL","3PL","lz*","Bootstrap by ability",0.0680628272251309,0.0500219234142064,FALSE
"experimental_iq",25,192,"1PL","3PL","U*","Normal theory",0.0364583333333333,0.0420308857808858,FALSE
"experimental_iq",25,192,"1PL","3PL","U*","Bootstrap",0.046875,0.0501893939393939,FALSE
"experimental_iq",25,192,"1PL","3PL","U*","Bootstrap by ability",0.0520833333333333,0.0515734265734266,FALSE
"experimental_iq",25,192,"1PL","3PL","W*","Normal theory",0.0520833333333333,0.0434513403263403,FALSE
"experimental_iq",25,192,"1PL","3PL","W*","Bootstrap",0.0677083333333333,0.0496430652680653,FALSE
"experimental_iq",25,192,"1PL","3PL","W*","Bootstrap by ability",0.0572916666666667,0.0507357226107226,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z2*","Normal theory",0.0157068062827225,0.0309485530546624,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z2*","Bootstrap",0.0523560209424084,0.0500219234142064,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z2*","Bootstrap by ability",0.0680628272251309,0.0502411575562701,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z4*","Normal theory",0.0471204188481675,0.0420198772288804,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z4*","Bootstrap",0.0628272251308901,0.0500584624378837,FALSE
"experimental_iq",25,192,"1PL","3PL","ECI_Z4*","Bootstrap by ability",0.0575916230366492,0.0506430868167203,FALSE
"frac20",20,536,"2PL","1PL","lz*","Normal theory",0.0895522388059701,0.0657462686567164,FALSE
"frac20",20,536,"2PL","1PL","lz*","Bootstrap",0.0671641791044776,0.049990671641791,FALSE
"frac20",20,536,"2PL","1PL","lz*","Bootstrap by ability",0.0764925373134328,0.0503171641791045,FALSE
"frac20",20,536,"2PL","1PL","U*","Normal theory",0.0708955223880597,0.055214552238806,FALSE
"frac20",20,536,"2PL","1PL","U*","Bootstrap",0.0671641791044776,0.0500186567164179,FALSE
"frac20",20,536,"2PL","1PL","U*","Bootstrap by ability",0.0634328358208955,0.0501305970149254,FALSE
"frac20",20,536,"2PL","1PL","W*","Normal theory",0.0746268656716418,0.0464085820895522,FALSE
"frac20",20,536,"2PL","1PL","W*","Bootstrap",0.0802238805970149,0.050009328358209,FALSE
"frac20",20,536,"2PL","1PL","W*","Bootstrap by ability",0.0690298507462687,0.0501026119402985,FALSE
